client_id,date_demande,age,sexe,situation_familiale,nombre_enfants,niveau_etude,type_emploi,secteur_activite,anciennete_emploi,type_contrat,revenu_mensuel,autres_revenus,charges_mensuelles,nombre_dependants,anciennete_banque,solde_moyen,decouvert_frequence,incidents_paiement,historique_credit,type_credit,montant_demande,duree_demande,objet_credit,garanties_physiques,avaliste,domiciliation_salaire,utilisation_mobile_banking,frequence_transactions,epargne_reguliere,participation_tontine,verification_identite,verification_revenus,score_bureaux_credit,region,zone_residence,taux_endettement,ratio_montant_revenu,score_credit,niveau_risque,decision_credit,remboursement_ok
CLI_000001,2024-08-15,39.0,M,celibataire,2,superieur,salarie_prive,commerce,5.466174261429597,CDI,224656.08899192017,122724.59289256687,301073.5371331719,2,0.7933584044261731,117687.70074046969,0,0,0,consommation,1259215.8082172808,3,consommation,1,0,1,1,17,0,0,1,1,579.5971500659118,Port-Gentil,urbaine,1.0,0.4670901694925679,374.6246867640517,eleve,revue_manuelle,0
CLI_000002,2025-05-12,33.0,M,marie,2,secondaire,independant,commerce,1.6277911815301283,freelance,274840.69175384793,75633.57937338937,54480.07163816346,4,2.380341436444081,61830.370206547836,4,2,1,spot,519750.87011564354,12,immobilier,0,0,1,1,20,0,0,1,1,479.4765530690016,Franceville,urbaine,0.19822418321867985,0.15759155688790236,326.1672044215383,tres_eleve,revue_manuelle,0
CLI_000003,2025-06-26,62.08181538891795,M,veuf,2,superieur,retraite,commerce,2.6285767037770493,retraite,318253.19693008816,20436.347439782126,122548.43713122465,2,1.6300041046435145,62979.23439269892,2,0,0,consommation,284944.56741183146,24,urgence,1,1,1,0,7,0,0,1,1,503.577724539711,Libreville,urbaine,0.38506584792656556,0.07461160122413116,406.7048785148963,eleve,revue_manuelle,0
CLI_000004,2025-02-18,50.0,M,marie,4,primaire,salarie_public,commerce,1.6205618355342164,CDD,164531.1258195461,55031.48984962144,207696.4058515272,0,0.17797754377600408,63696.82030453803,3,1,0,consommation,4056695.4211720894,3,equipement,0,0,1,1,12,1,1,1,1,373.9440113157568,Lambarene,urbaine,1.0,2.0546747618752383,200.0,tres_eleve,refuse,0
CLI_000005,2025-03-05,32.0,M,celibataire,1,superieur,salarie_prive,agriculture,0.7500065786744576,CDD,1113777.6885151865,47221.8389469488,260145.77622199786,0,2.8827752856147324,185603.28235233173,0,1,1,consommation,464743.96436076856,18,consommation,0,0,1,1,4,0,1,1,1,486.75952719675956,Port-Gentil,rurale,0.23357064780926498,0.0347723464889669,516.9590479467149,moyen,accepte,1
CLI_000006,2025-03-16,32.0,M,marie,2,secondaire,salarie_public,administration,2.9903934829966214,freelance,422973.3234454057,5690.9850395908625,128098.60740137345,1,3.5101930393260474,25448.754809702154,0,0,1,avance_commande,389902.03407639195,12,consommation,1,0,1,1,10,0,0,1,1,800.0,Mouila,urbaine,0.3028526866846426,0.07681769599171064,562.5613278270586,moyen,accepte,1
CLI_000007,2025-04-28,50.0,M,marie,1,secondaire,independant,industrie,1.4759815703976025,CDI,201051.44699362543,133771.45669804318,98133.42233870576,1,2.5972487798545694,198987.26957196044,5,0,1,spot,411905.3971824853,24,equipement,0,0,0,0,15,0,0,1,1,462.8184954304752,Port-Gentil,rurale,0.48810104978661106,0.170729682767692,227.78235617228506,tres_eleve,refuse,0
CLI_000008,2025-05-17,62.93296485698374,F,marie,6,primaire,retraite,administration,0.8603674943356008,retraite,198918.6532412808,297.1899099542194,145912.28489672794,1,2.1844728675675245,40950.78696371683,1,0,0,tontine,599068.6234180675,3,consommation,1,0,0,1,11,1,0,1,1,372.3400173025315,Oyem,rurale,0.7335274119302521,0.250968848176772,282.97046868462917,tres_eleve,refuse,0
CLI_000009,2024-07-27,30.0,M,marie,0,secondaire,salarie_prive,services,8.364758231000206,CDI,236811.17744113255,88051.56190878856,54190.8697712963,0,1.6973476599056616,29413.236227978792,2,0,1,consommation,3482967.4367383244,12,immobilier,0,1,1,1,11,0,0,1,1,200.0,Libreville,urbaine,0.22883577691246132,1.2256485928203755,357.8808615814212,eleve,revue_manuelle,0
CLI_000010,2024-10-02,40.0,F,celibataire,2,secondaire,salarie_public,commerce,1.0,CDI,462642.7624952665,35813.60453966658,33757.725497999774,2,1.3225336964015444,110769.01495895714,2,0,1,avance_commande,865711.4572768938,18,investissement,1,0,0,0,17,1,0,1,1,632.9864943056988,Libreville,urbaine,0.07296715356774908,0.15593591273456758,539.778489610478,moyen,accepte,1
CLI_000011,2025-05-25,30.0,F,marie,3,superieur,salarie_public,services,4.499019561622072,freelance,828301.2722915772,87359.65616551871,133844.69846118096,0,2.535291496311487,569606.7109863597,1,0,1,spot,1315691.1569226019,18,urgence,0,1,0,1,7,1,1,1,1,614.6662490746248,Franceville,urbaine,0.16158939137071032,0.1323684188486367,625.9156160612986,moyen,accepte,0
CLI_000012,2024-09-09,30.0,M,marie,1,superieur,salarie_public,services,2.392426967474578,CDI,971098.8604503728,40560.52496913867,154369.45273993505,4,0.2688970656744669,220106.49410829713,1,1,1,tontine,944180.3016884789,18,consommation,0,1,1,1,11,0,0,1,0,497.6243994460455,Port-Gentil,rurale,0.1589636843650935,0.08102335921893938,553.0356496460224,moyen,accepte,0
CLI_000013,2024-12-04,37.0,F,divorce,3,secondaire,salarie_public,commerce,4.3195454489618825,CDI,484508.4234444266,8317.616500279144,138654.02570671868,3,0.008833688447117037,40802.249513383125,3,0,1,consommation,1213713.9788343206,36,consommation,0,1,1,0,9,1,0,1,1,446.32785171705785,Libreville,urbaine,0.28617464423221195,0.208753504945261,477.412762652592,eleve,accepte,0
CLI_000014,2025-06-22,18.0,F,celibataire,1,secondaire,salarie_public,administration,1.0,CDI,137494.23080966648,32093.43215852952,152705.03171531283,1,0.5514976243182321,1242273.9421782112,3,2,1,avance_commande,328070.08856720827,12,investissement,0,1,1,1,8,1,1,1,1,494.7968943114588,Port-Gentil,urbaine,1.0,0.1988386995314227,245.93687166540298,tres_eleve,refuse,0
CLI_000015,2025-06-23,18.0,M,divorce,1,superieur,salarie_prive,services,1.4849211544571086,CDI,828300.8877263176,105525.2839285748,315020.1054865722,3,0.012315698371805826,145928.19443695375,1,1,1,tontine,1149350.1854825087,18,investissement,0,1,0,0,7,0,0,1,1,507.0407438391783,Franceville,urbaine,0.3803208594298396,0.11563332062392911,354.844084388498,eleve,revue_manuelle,0
CLI_000016,2025-05-22,29.0,M,celibataire,2,superieur,salarie_prive,services,4.769454216976186,CDI,231853.79004352147,13040.43269982204,135828.95425439434,1,1.1921287861746752,176230.75483764402,3,1,1,retraite,2754889.9757424905,12,investissement,0,0,1,1,17,1,0,1,1,560.3762142644446,Mouila,urbaine,0.5858388350214062,0.9901678320725918,276.88017422005885,tres_eleve,refuse,0
CLI_000017,2025-03-19,24.0,M,marie,1,secondaire,salarie_public,administration,5.063467231496205,freelance,258847.0385840898,6377.965070652192,174771.7371552953,1,1.6500067182239901,49969.52507025271,0,1,1,consommation,2177881.2595646475,24,immobilier,0,0,1,1,14,1,0,1,1,401.4818204682081,Lambarene,rurale,0.6751931106158606,0.7011480832714306,225.09870864063697,tres_eleve,refuse,0
CLI_000018,2025-03-11,38.0,F,divorce,3,secondaire,independant,agriculture,4.666383607382738,CDI,284410.5834220274,26763.184473547637,101158.1056940337,0,1.7659614164774606,26111.85300804161,3,2,1,avance_commande,216600.36090198762,6,equipement,0,0,1,1,6,1,1,1,1,386.28456955641127,Lambarene,rurale,0.3556763059830602,0.06346469198856006,407.9941451282272,eleve,revue_manuelle,0
CLI_000019,2024-10-23,25.0,F,marie,2,secondaire,salarie_prive,industrie,4.091824383496201,CDI,160002.61008059292,83300.7332974009,64714.38768054055,2,3.19777574093393,34715.95753655603,3,1,0,avance_facture,1092686.0864714645,24,immobilier,0,0,0,1,9,0,0,1,1,675.3176571422824,Libreville,rurale,0.4044583250732227,0.5690980530052402,305.02419061980396,tres_eleve,revue_manuelle,0
CLI_000020,2024-09-03,20.0,M,celibataire,2,superieur,independant,commerce,1.4176895870426844,CDI,252759.3329061124,61130.24939752228,216140.44692655187,1,4.3646717243227995,119404.01400826778,3,0,1,avance_commande,5946487.398113066,6,consommation,0,1,1,1,16,1,1,1,0,563.2684597835237,Libreville,urbaine,0.8551235059907258,1.9605235178140428,338.3771332822917,tres_eleve,revue_manuelle,0
CLI_000021,2025-06-25,49.0,F,celibataire,0,primaire,salarie_prive,commerce,3.7783994256577973,CDD,146598.40454946968,286402.29726173816,35232.91849411936,2,4.684330122811538,297965.91877020453,1,0,1,consommation,1017891.8443161611,6,immobilier,0,0,0,1,6,0,0,1,1,378.41314267268854,Franceville,semi_urbaine,0.24033630244747992,0.5786169407529678,303.05677528762885,tres_eleve,revue_manuelle,0
CLI_000022,2024-09-24,32.0,M,marie,2,superieur,salarie_prive,industrie,1.0,CDI,656776.6532217518,106133.6972015861,44373.19221253828,1,0.02035262953815354,73853.35522942417,0,1,0,consommation,461129.7634800388,24,urgence,1,0,0,1,3,1,1,1,1,406.94534257271675,Mouila,semi_urbaine,0.06756207303482858,0.058509205681263325,566.6765786267316,moyen,accepte,1
CLI_000023,2025-03-29,63.73683965565985,M,marie,4,secondaire,retraite,administration,0.532384824893001,retraite,102087.53096252834,9399.550740030445,366577.93856814154,2,1.2338754684456372,85989.11968226047,0,0,0,consommation,73460.27292126454,12,equipement,1,0,0,1,10,1,0,1,1,524.2260983728863,Libreville,semi_urbaine,1.0,0.059965103988579856,287.87924388107143,tres_eleve,refuse,0
CLI_000024,2024-08-10,20.0,F,veuf,2,primaire,salarie_public,administration,2.3290673174001744,CDI,917651.3682197623,77544.81623540055,186291.0194700557,1,0.9106570266869927,205520.4196118159,2,0,1,tontine,1125959.8127726093,24,equipement,0,1,1,1,7,0,1,1,1,526.7722791473433,Mouila,urbaine,0.203008490938622,0.10225014384247799,539.7307078713759,moyen,accepte,0
CLI_000025,2024-07-14,29.0,M,marie,2,superieur,independant,commerce,2.3929002159220736,freelance,424889.47782913956,63314.76751908417,159380.43080884241,3,0.15768148619766748,3724.1597124189702,5,0,0,consommation,1205559.5707154593,24,urgence,0,0,1,1,14,1,0,1,1,515.994159872477,Franceville,urbaine,0.37511032662694915,0.23644571777327195,350.73362003530406,eleve,revue_manuelle,0
